Fecha Hora;Pos. Bloque (ft);Carga Gancho (lbs);Profundidad (ft);TQ Llave Pot (lb.ft);Presión Bomba (psi)
5/12/2025 0:09;-11.57;2420.19;7522.94;0;3.13
5/12/2025 0:09;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:09;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:09;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:09;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:09;-11.57;2332.71;7522.94;0;2.51
5/12/2025 0:09;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:09;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:09;-11.57;2420.19;7522.94;0;2.51
5/12/2025 0:09;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:09;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:09;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:09;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:10;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:10;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:10;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:10;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:10;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:10;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:10;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:10;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:11;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:12;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:12;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:12;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:12;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:12;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:12;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:12;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:12;-11.57;2332.71;7522.94;0;3.13
5/12/2025 0:12;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:12;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:12;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:12;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:12;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:12;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:12;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:13;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:13;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:13;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:13;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:13;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:13;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:13;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:13;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:13;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:13;-11.57;2420.19;7522.94;0;2.51
5/12/2025 0:13;-11.57;2391.03;7522.94;0;2.19
5/12/2025 0:13;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:13;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:13;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:13;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:14;-11.57;2361.87;7522.94;0;2.19
5/12/2025 0:14;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:14;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:14;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:14;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:14;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:14;-11.57;2332.71;7522.94;0;2.51
5/12/2025 0:14;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:14;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:14;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:14;-11.57;2420.19;7522.94;0;2.51
5/12/2025 0:14;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:14;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:14;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:14;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2420.19;7522.94;0;2.82
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:15;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:15;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:15;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:15;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:15;-11.57;2391.03;7522.94;0;2.19
5/12/2025 0:16;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2420.19;7522.94;0;2.82
5/12/2025 0:16;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2361.87;7522.94;0;2.19
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.19
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:16;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:16;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:16;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:17;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:17;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:17;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:17;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2332.71;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2391.03;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.82
5/12/2025 0:18;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:18;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:18;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2332.71;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2332.71;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;3.13
5/12/2025 0:19;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:19;-11.57;2332.71;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:19;-11.57;2391.03;7522.94;0;2.51
5/12/2025 0:19;-11.57;2332.71;7522.94;0;2.51
5/12/2025 0:19;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:20;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:20;-11.57;2391.03;7522.94;0;3.13
5/12/2025 0:20;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:20;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:20;-11.57;2361.87;7522.94;0;2.51
5/12/2025 0:20;-11.57;2361.87;7522.94;0;2.51
