deviceId;fecha_hora;pozo;caudal;presion;actividad;numero_prueba
ColpetroleumRsu8;2025-12-06 21:17:14;MN-48;0;60,8;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:18;MN-48;0;58,92;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:22;MN-48;0;250,09;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:26;MN-48;0;598,6;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:30;MN-48;0;586,37;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:34;MN-48;0;581,67;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:38;MN-48;0;578,85;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:42;MN-48;0;576,03;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:46;MN-48;0;572,58;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:50;MN-48;0;570,7;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:54;MN-48;0;568,51;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:17:58;MN-48;0;566,63;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:02;MN-48;0;565,06;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:06;MN-48;0;562,55;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:10;MN-48;0;560,67;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:14;MN-48;0;559,11;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:18;MN-48;0;557,85;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:22;MN-48;0;555,35;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:26;MN-48;0;553,78;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:30;MN-48;0;552,53;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:34;MN-48;0;550,96;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:38;MN-48;0;549,71;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:42;MN-48;0;547,2;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:46;MN-48;0;545,94;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:50;MN-48;0;544,69;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:54;MN-48;0;543,12;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:18:58;MN-48;0;542,18;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:02;MN-48;0;539,68;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:06;MN-48;0;538,42;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:10;MN-48;0;536,86;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:14;MN-48;0;535,6;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:18;MN-48;0;533,72;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:22;MN-48;0;532,47;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:26;MN-48;0;531,21;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:30;MN-48;0;530,59;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:34;MN-48;0;529,02;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:38;MN-48;0;527,14;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:42;MN-48;0;526,2;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:46;MN-48;0;524,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:50;MN-48;0;524,01;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:54;MN-48;0;522,75;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:19:58;MN-48;0;521,5;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:02;MN-48;0;520,87;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:06;MN-48;0;519,31;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:10;MN-48;0;518,37;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:14;MN-48;0;516,48;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:18;MN-48;0;515,86;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:22;MN-48;0;514,6;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:26;MN-48;0;513,66;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:30;MN-48;0;512,72;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:34;MN-48;0;511,16;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:38;MN-48;0;510,22;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:42;MN-48;0;509,59;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:46;MN-48;0;508,34;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:50;MN-48;0;507,08;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:54;MN-48;0;506,46;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:20:58;MN-48;0;505,2;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:02;MN-48;0;503,95;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:06;MN-48;0;502,38;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:10;MN-48;0;501,76;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:14;MN-48;0;501,13;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:18;MN-48;0;500,19;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:22;MN-48;0;498,93;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:26;MN-48;0;507,71;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:30;MN-48;0;510,84;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:34;MN-48;0;513,98;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:38;MN-48;0;518,99;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:42;MN-48;0;521,81;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:46;MN-48;0;525,26;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:50;MN-48;0;524,01;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:54;MN-48;0;522,75;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:21:58;MN-48;0;521,19;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:02;MN-48;0;519,62;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:06;MN-48;0;518,99;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:10;MN-48;0;517,74;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:14;MN-48;0;516,48;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:18;MN-48;0;515,23;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:22;MN-48;0;513,04;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:26;MN-48;0;512,1;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:30;MN-48;0;511,47;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:34;MN-48;0;510,22;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:38;MN-48;0;508,96;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:42;MN-48;0;507,71;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:46;MN-48;0;505,83;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:50;MN-48;0;505,2;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:54;MN-48;0;503,64;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:22:58;MN-48;0;502,7;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:02;MN-48;0;501,44;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:06;MN-48;0;500,19;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:10;MN-48;0;498,93;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:14;MN-48;0;497,68;FUERA DE VIAJE;1
ColpetroleumRsu8;2025-12-06 21:23:18;MN-48;0;497,05;FUERA DE VIAJE;1
